eV	white
2000	449483.3
2100	1591164
2200	4464071
2300	11212756
2400	23882550
2500	45384867
2600	78387658
2700	1.25E+08
2800	1.88E+08
2900	2.66E+08
3000	3.19E+08
3100	3.78E+08
3200	4.5E+08
3300	5.07E+08
3400	6.14E+08
3500	7.34E+08
3600	8.78E+08
3700	1.03E+09
3800	1.18E+09
3900	1.34E+09
4000	1.51E+09
4100	1.67E+09
4200	1.84E+09
4300	2.01E+09
4400	2.18E+09
4500	2.34E+09
4600	2.5E+09
4700	2.66E+09
4800	2.82E+09
4900	2.97E+09
5000	3.12E+09
5100	3.27E+09
5200	3.41E+09
5300	3.55E+09
5400	3.69E+09
5500	3.82E+09
5600	3.95E+09
5700	4.07E+09
5800	4.19E+09
5900	4.31E+09
6000	4.42E+09
6100	4.53E+09
6200	4.63E+09
6300	4.73E+09
6400	4.83E+09
6500	4.92E+09
6600	5.01E+09
6700	5.09E+09
6800	5.17E+09
6900	5.25E+09
7000	5.33E+09
7100	5.4E+09
7200	5.47E+09
7300	5.54E+09
7400	5.6E+09
7500	5.66E+09
7600	5.72E+09
7700	5.77E+09
7800	5.83E+09
7900	5.88E+09
8000	5.93E+09
8100	5.95E+09
8200	5.98E+09
8300	6E+09
8400	6.02E+09
8500	6.04E+09
8600	6.05E+09
8700	6.07E+09
8800	6.08E+09
8900	6.09E+09
9000	6.09E+09
9100	6.1E+09
9200	6.1E+09
9300	6.11E+09
9400	6.11E+09
9500	6.11E+09
9600	6.1E+09
9700	6.1E+09
9800	6.1E+09
9900	6.09E+09
10000	6.08E+09
10100	6.07E+09
10200	6.06E+09
10300	6.05E+09
10400	6.04E+09
10500	6.02E+09
10600	6.01E+09
10700	5.99E+09
10800	5.98E+09
10900	5.96E+09
11000	5.94E+09
11100	5.95E+09
11200	5.96E+09
11300	5.96E+09
11400	5.96E+09
11500	5.93E+09
11600	5.63E+09
11700	5.74E+09
11800	5.76E+09
11900	5.77E+09
12000	5.78E+09
12100	5.78E+09
12200	5.79E+09
12300	5.79E+09
12400	5.79E+09
12500	5.79E+09
12600	5.79E+09
12700	5.79E+09
12800	5.79E+09
12900	5.78E+09
13000	5.78E+09
13100	5.77E+09
13200	5.75E+09
13300	5.49E+09
13400	5.56E+09
13500	5.59E+09
13600	5.59E+09
13700	5.58E+09
13800	5.55E+09
13900	5.48E+09
14000	5.48E+09
14100	5.47E+09
14200	5.46E+09
14300	5.44E+09
14400	5.42E+09
14500	5.4E+09
14600	5.38E+09
14700	5.36E+09
14800	5.34E+09
14900	5.31E+09
15000	5.29E+09
15100	5.26E+09
15200	5.24E+09
15300	5.21E+09
15400	5.19E+09
15500	5.16E+09
15600	5.13E+09
15700	5.11E+09
15800	5.08E+09
15900	5.05E+09
16000	5.02E+09
16100	4.99E+09
16200	4.96E+09
16300	4.93E+09
16400	4.89E+09
16500	4.86E+09
16600	4.83E+09
16700	4.79E+09
16800	4.76E+09
16900	4.72E+09
17000	4.69E+09
17100	4.64E+09
17200	4.59E+09
17300	4.53E+09
17400	4.48E+09
17500	4.43E+09
17600	4.37E+09
17700	4.32E+09
17800	4.26E+09
17900	4.2E+09
18000	4.13E+09
18100	4.06E+09
18200	3.99E+09
18300	3.91E+09
18400	3.82E+09
18500	3.71E+09
18600	3.58E+09
18700	3.41E+09
18800	3.2E+09
18900	3.07E+09
19000	3.13E+09
19100	3.23E+09
19200	3.28E+09
19300	3.3E+09
19400	3.29E+09
19500	3.27E+09
19600	3.24E+09
19700	3.2E+09
19800	3.16E+09
19900	3.12E+09
20000	3.07E+09
20100	3.02E+09
20200	2.97E+09
20300	2.92E+09
20400	2.87E+09
20500	2.81E+09
20600	2.76E+09
20700	2.7E+09
20800	2.64E+09
20900	2.58E+09
21000	2.51E+09
21100	2.45E+09
21200	2.39E+09
21300	2.32E+09
21400	2.25E+09
21500	2.18E+09
21600	2.11E+09
21700	2.04E+09
21800	1.96E+09
21900	1.89E+09
22000	1.81E+09
22100	1.73E+09
22200	1.65E+09
22300	1.57E+09
22400	1.48E+09
22500	1.4E+09
22600	1.31E+09
22700	1.22E+09
22800	1.13E+09
22900	1.03E+09
23000	9.26E+08
23100	8.27E+08
23200	7.35E+08
23300	2.25E+08
23400	2.07E+08
23500	1.9E+08
23600	1.71E+08
23700	1.46E+08
23800	1.22E+08
23900	99710779
24000	79465820
24100	61601658
24200	46498562
24300	34220238
24400	24653269
24500	17548481
24600	12525713
24700	9130754
24800	6931405
24900	5574046
25000	4796692
25100	4416758
25200	4305809
25300	4365547
25400	4512988
25500	4674174
25600	4785367
25700	4799918
25800	4694120
25900	4465946
26000	4131719


